(//@化缘在山医:打苟事件中，受伤最重的不是运动员，不是体育总局，不是刘国梁，而是08年以来，各级宣传口和网络上的“自干五”等所有人努力建立起来的，相对以前较为正面的政府形象。通过总局对爱国主义，集体主义等名词的灾难性使用，直接把政府部门对这些名词的态度展现出来，即，权力仅仅是一种用于控制人的手段。,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁事件回顾,(刘国梁,2017-06-26),1)
(刘国梁不再担任国乒总教练,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁和他的兄弟们,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(月薪两万 不也在敢在北京买五百万的房子嘛 喜好不同吧 刘国梁估计比大家的多不少,(刘国梁,2017-06-26),1)
(主要是我不知道他挣多少钱啊，有多少广告赞助费啊 ，所以不知道他这么花是不是有道理啊 ，车敢往办公场所开要是贪污那胆子可不小啊 。我不知道这些你也不知道，那你就不能说人家肯定有问题了 两件事 体育总局有没有违规撤人 你说的刘国梁有豪车的事也可以查查嘛 但和前一件事有关系么 主体责任人是两个,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁事件回顾,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁2013,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(昨天去吸吸服看书，有个人打开了喊刘国梁的视频，还打开了不止一次,(刘国梁,2017-06-26),1)
(刘国梁师傅,(刘国梁,2017-06-26),1)
(琢磨刘国梁不如好好考虑自己的事,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(乒乓球刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(昨晚侠客岛发文，选了好多支持刘国梁的留言，今早起来一看，阅读十万加，留言却关闭了。现在良心媒体真不多了,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(这一刻我们无心恋战 刘国梁,(刘国梁,2017-06-26),1)
(#刘国梁卸任总教练#,(刘国梁,2017-06-26),1)
(刘国梁事件骂国家体育总局局长的敏感词,(刘国梁,2017-06-26),1)
(刘国梁事件,(刘国梁,2017-06-26),1)
(刘国梁说在打王者荣耀,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁 回应,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁为什么被称为不懂球的胖子,(刘国梁,2017-06-26),1)
(刘国梁 日本 开会,(刘国梁,2017-06-26),1)
(刘国梁 到底为啥被撤,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(莫让官场潜规则和权力争斗毁了国乒队！ 球员集体退赛，国乒大将发声支援，硬抗总局，让人感动。在这样一个拜金拜权、自私而无人性的年代，一群人能为了情义赌上自己的前途，支援自己的恩师、战友，不容易。刘国梁事件，管中窥豹，没有约束的权力具有多大的负能量，体育总局与证监会又是何其相似，面对社会大众的反对声浪和强烈质疑，他们表现出的是同样的傲慢、无礼和自以为是。,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(世乒赛上国乒队集体退赛，多位国乒大将发声支援，硬抗总局，说实话挺让人感动。在这样一个拜金、自私的年代，一群人能为了情义赌上自己的前途，支援自己的恩师、战友，不容易。而且，明知是场实力悬殊的战斗，还能以命相搏，更为不易。刘国梁事件再次表明，没有约束的权力具有多大的负能量，在用祸水毁掉中国乒乓球队的同时，最后倒霉的一定是他们自已！国家体育总局与中国证监会何其相似乃尔，面对社会大众的反对声浪和强烈质疑，他们表现出的是同样的傲慢和无礼！,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(第一篇让我大大方方心甘情愿掏腰包打赏的文章！向刘国梁致敬！向作者致敬！更为自己同样有着坚持正直，向上，尊重，充满力量，更充满温柔的魅力人格无比骄傲[奋斗],(刘国梁,2017-06-26),1)
(第一篇让我大大方方心甘情愿掏腰包打赏的文章！向刘国梁致敬！向作者致敬！更为自己同样有着坚持正直，向上，尊重，充满力量，又充满温柔的魅力人格无比骄傲[奋斗][奋斗][奋斗],(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁升迁是好事还是坏事？,(刘国梁,2017-06-26),1)
(刘国梁被卸任了,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(大姐，刘国梁你都不认识？乒乓球拿了那么多冠军！,(刘国梁,2017-06-26),1)
(@渔夫 鲁豫真灾星，一采访刘国梁就出这事,(刘国梁,2017-06-26),1)
(最开始看刘国梁和孔令辉打球的时候，他们还是小伙子，,(刘国梁,2017-06-26),1)
(最开始看刘国梁和孔令辉打球的时候，他们还是小伙子，,(刘国梁,2017-06-26),1)
(最开始看刘国梁和孔令辉打球的时候，他们还是小伙子。一辈子毕竟很长，会发生很多好事和坏事，,(刘国梁,2017-06-26),1)
(最开始看刘国梁和孔令辉打球的时候，他们还是小伙子。一辈子毕竟很长，会发生很多好事和坏事，默默为他们送上一份祝福。,(刘国梁,2017-06-26),1)
(最开始看刘国梁和孔令辉打球的时候，他们还是小伙子，,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁不再担任国乒总教练,(刘国梁,2017-06-26),1)
(刘国梁 回应,(刘国梁,2017-06-26),1)
(刘国梁微博,(刘国梁,2017-06-26),1)
(6月26 周一 阴 21/28℃ 1、日媒：朝鲜拟派外交官入职联合国秘书处 日美反对； 2、中央机关遴选选调公务员今开考 全国17城市设考点 计划选拔360名公务员； 3、巴基斯坦油罐车侧翻起火123人遇难 另有100多人受伤 疑有人抽烟引爆； 4、中国标准动车组“复兴号”亮相 今天在京沪高铁首发 持续运行速度为350km/h； 5、朝鲜提醒美牢记朝鲜战争失败教训 其不败神话曾在朝被打破； 6、中国乒协领导连夜与队员沟通 首次提及刘国梁任乒协副主席的权责； 7、韩媒称韩国食品被中国退货率暴增280% 从去年的49批增加到102批； 8、大白兔注册大灰兔、大黑兔！知名品牌无奈抢注山寨号 以此作为自家的防御商标； 9、法制日报：新华字典APP收费是种讽刺 免费又何妨； 10、2016年人均使用快递近23件 年人均快递费用支出287.4元  比2015年少花0.7元； 11、美媒：特斯拉在华建厂将提升中国电动车制造国地位； 12、邮政局报告：去年消费者对顺丰、EMS、中通最满意； 早读 谋而不得，则以往知来，以见知隐。 释义：如果谋虑不到，那么就根据过去推知未来（主要强调凭借经验），根据明显的事推知隐微的事。像这样谋虑，那么所谋必得（成功）,(刘国梁,2017-06-26),1)
(张继科刘国梁,(刘国梁,2017-06-26),1)
(明着是力挺刘国梁！实际上是把刘国梁放火上烤了！,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(刘国梁,(刘国梁,2017-06-26),1)
(体育总局的确应该为他们草率从事作出解释，刚认命总教练八十天就撤销，是自己打自己嘴巴，说明一点总局领导办事心血来潮，欠考虑！既然有改革考虑，已经想好怎么安排刘国梁，又何必搞什么竞聘，这不是准备好男女队教练，,(刘国梁,2017-06-26),1)
(体育总局的确应该为他们草率从事作出解释，刚认命总教练八十天就撤销，是自己打自己嘴巴，说明一点总局领导办事心血来潮，欠考虑！既然有改革考虑，已经想好怎么安排刘国梁，又何必搞什么竞聘，这不是安排好男女队教练，宁是把刘国梁摁在空头衔乒协副主席位置上，架空刘国梁嫌疑么?！不得不说体育总局领导的高明！魏纪中如果是女排当初从神坛跌下来的元凶，那么中国乒乓球队恐怕会步入当初女排的后尘，体育总局局长苟仲文就是第二个魏纪中，有亲日的嫌疑，希望苟仲文赶紧滚下来！,(刘国梁,2017-06-26),1)
